newName,oldName,GSI,VPDFR,FRGMAX
ALF1,ALFA,1.25075,1.5,0
ALF2,ALFA,1.25075,1.5,0
ALF3,ALFA,1.25075,1.5,0
ALF4,ALFA,0.001,6,0
CN01,CORN,1.25075,1.5,0.25
CN02,CORN,1.25075,1.5,0
CN03,CORN,1.25075,1.5,0
CN04,CORN,1.25075,1.5,0
CN05,CORN,1.25075,1.5,0
CN06,CORN,1.25075,1.5,0
CN07,CORN,1.25075,1.5,0.25
CN08,CORN,1.25075,1.5,0
CN09,CORN,1.25075,1.5,0
CN10,CORN,1.25075,1.5,0
CN11,CORN,0.001,1.5,1
CN12,CORN,0.001,4.875,0.75
CN13,CORN,0.001,4.875,0.5
CN14,CORN,0.001,4.875,0
CN15,CORN,0.001,6,0
CN16,CORN,0.001,3.75,0.5
CN17,CORN,0.001,1.5,0.75
CN18,CORN,0.001,2.625,0
CN19,CORN,0.001,4.875,0.75
CN20,CORN,0.001,3.75,0.25
CN21,CORN,0.001,4.875,0
CN22,CORN,0.001,3.75,0.75
CN23,CORN,0.001,1.5,0.5
CN24,CORN,0.001,1.5,0.25
CN25,CORN,0.001,1.5,0.25
CN26,CORN,0.001,1.5,0.25
CN27,CORN,0.001,1.5,0.25
CN28,CORN,0.001,1.5,0.5
FP01,FPEA,1.25075,1.5,0
FR01,FRSD,0.001,1.5,1
FR02,FRSD,1.25075,1.5,0
FR03,FRSD,1.25075,1.5,0
FR04,FRSD,1.25075,1.5,0
FR05,FRSD,1.25075,1.5,0
FR06,FRSD,1.25075,1.5,0
FR07,FRSD,1.25075,1.5,0
FR08,FRSD,1.25075,1.5,0
FR09,FRSD,1.25075,1.5,0
FR10,FRSD,1.25075,1.5,0
FR11,FRSD,1.25075,1.5,0.25
FR12,FRSD,0.001,1.5,1
FR13,FRSD,0.001,4.875,0.75
FR14,FRSD,0.001,6,0.75
FR15,FRSD,0.001,1.5,0
FRS1,FRSE,1.25075,1.5,0
HAY1,HAY,1.25075,1.5,0
PAS1,PAST,1.25075,1.5,0
PAS2,PAST,1.25075,1.5,0
PAS3,PAST,1.25075,1.5,0
PAS4,PAST,1.25075,1.5,0.25
PAS5,PAST,1.25075,1.5,0.25
PAS6,PAST,1.25075,1.5,0
PAS7,PAST,0.001,1.5,1
PAS8,PAST,0.001,1.5,0
SGB1,SGBT,1.25075,1.5,0
SGB2,SGBT,1.25075,1.5,0
SGB3,SGBT,0.001,3.75,0
SOY1,SOYB,1.25075,1.5,0
SOY2,SOYB,1.25075,1.5,0
SOY3,SOYB,1.25075,1.5,0
SOY4,SOYB,1.25075,1.5,0
SOY5,SOYB,0.001,1.5,1
SOY6,SOYB,0.001,6,0
SOY7,SOYB,0.001,6,0.75
SOY8,SOYB,0.001,1.5,0.25
WF01,WETF,1.25075,1.5,0
WF02,WETF,1.25075,1.5,0
WF03,WETF,1.25075,1.5,0
WF04,WETF,1.25075,1.5,0
WF05,WETF,1.25075,1.5,0
WF06,WETF,1.25075,1.5,0
WF07,WETF,1.25075,1.5,0
WF08,WETF,1.25075,1.5,0.25
WF09,WETF,1.25075,1.5,0
WF10,WETF,0.001,1.5,1
WF11,WETF,0.001,3.75,0.5
WF12,WETF,0.001,6,0.25
WF13,WETF,0.001,2.625,0.5
WF14,WETF,0.001,3.75,0.75
WF15,WETF,0.001,6,0.75
WF16,WETF,0.001,3.75,0.25
WF17,WETF,0.001,1.5,1
WF18,WETF,0.001,1.5,0.5
WF19,WETF,0.001,1.5,0.25
WW01,WWHT,1.25075,1.5,0
WW02,WWHT,1.25075,1.5,0
WW03,WWHT,1.25075,1.5,0
WW04,WWHT,1.25075,1.5,0
WW05,WWHT,1.25075,1.5,0
WW06,WWHT,0.001,2.625,0.5
WW07,WWHT,0.001,6,0.5
